timestamp,value,label,datetime,date,time,day,hour,minute
1469376000,0.8473002740000001,0,2016-07-24 16:00:00,2016-07-24,16:00:00,Sunday,16,0
1469376300,-0.036137314,0,2016-07-24 16:05:00,2016-07-24,16:05:00,Sunday,16,5
1469376600,0.074292384,0,2016-07-24 16:10:00,2016-07-24,16:10:00,Sunday,16,10
1469376900,0.074292384,0,2016-07-24 16:15:00,2016-07-24,16:15:00,Sunday,16,15
1469377200,-0.036137314,0,2016-07-24 16:20:00,2016-07-24,16:20:00,Sunday,16,20
1469377500,0.184722083,0,2016-07-24 16:25:00,2016-07-24,16:25:00,Sunday,16,25
1469377800,-0.036137314,0,2016-07-24 16:30:00,2016-07-24,16:30:00,Sunday,16,30
1469378100,0.184722083,0,2016-07-24 16:35:00,2016-07-24,16:35:00,Sunday,16,35
1469378400,0.074292384,0,2016-07-24 16:40:00,2016-07-24,16:40:00,Sunday,16,40
1469378700,-0.036137314,0,2016-07-24 16:45:00,2016-07-24,16:45:00,Sunday,16,45
1469379000,-0.036137314,0,2016-07-24 16:50:00,2016-07-24,16:50:00,Sunday,16,50
1469379300,-0.036137314,0,2016-07-24 16:55:00,2016-07-24,16:55:00,Sunday,16,55
1469379600,-0.256996711,0,2016-07-24 17:00:00,2016-07-24,17:00:00,Sunday,17,0
1469379900,-0.256996711,0,2016-07-24 17:05:00,2016-07-24,17:05:00,Sunday,17,5
1469380200,-0.36742641,0,2016-07-24 17:10:00,2016-07-24,17:10:00,Sunday,17,10
1469380500,-0.36742641,0,2016-07-24 17:15:00,2016-07-24,17:15:00,Sunday,17,15
1469380800,-0.036137314,0,2016-07-24 17:20:00,2016-07-24,17:20:00,Sunday,17,20
1469381100,-0.36742641,0,2016-07-24 17:25:00,2016-07-24,17:25:00,Sunday,17,25
1469381400,-0.146567013,0,2016-07-24 17:30:00,2016-07-24,17:30:00,Sunday,17,30
1469381700,-0.36742641,0,2016-07-24 17:35:00,2016-07-24,17:35:00,Sunday,17,35
1469382000,-0.47785610799999995,0,2016-07-24 17:40:00,2016-07-24,17:40:00,Sunday,17,40
1469382300,-0.47785610799999995,0,2016-07-24 17:45:00,2016-07-24,17:45:00,Sunday,17,45
1469382600,-0.47785610799999995,0,2016-07-24 17:50:00,2016-07-24,17:50:00,Sunday,17,50
1469382900,-0.47785610799999995,0,2016-07-24 17:55:00,2016-07-24,17:55:00,Sunday,17,55
1469383200,-0.47785610799999995,0,2016-07-24 18:00:00,2016-07-24,18:00:00,Sunday,18,0
1469383500,-0.588285807,0,2016-07-24 18:05:00,2016-07-24,18:05:00,Sunday,18,5
1469383800,-0.809145204,0,2016-07-24 18:10:00,2016-07-24,18:10:00,Sunday,18,10
1469384100,-0.809145204,0,2016-07-24 18:15:00,2016-07-24,18:15:00,Sunday,18,15
1469384400,-0.698715505,0,2016-07-24 18:20:00,2016-07-24,18:20:00,Sunday,18,20
1469384700,-0.698715505,0,2016-07-24 18:25:00,2016-07-24,18:25:00,Sunday,18,25
1469385000,-0.809145204,0,2016-07-24 18:30:00,2016-07-24,18:30:00,Sunday,18,30
1469385300,-0.809145204,0,2016-07-24 18:35:00,2016-07-24,18:35:00,Sunday,18,35
1469385600,-0.36742641,0,2016-07-24 18:40:00,2016-07-24,18:40:00,Sunday,18,40
1469385900,-0.698715505,0,2016-07-24 18:45:00,2016-07-24,18:45:00,Sunday,18,45
1469386200,-0.919574903,0,2016-07-24 18:50:00,2016-07-24,18:50:00,Sunday,18,50
1469386500,-0.919574903,0,2016-07-24 18:55:00,2016-07-24,18:55:00,Sunday,18,55
1469386800,-0.919574903,0,2016-07-24 19:00:00,2016-07-24,19:00:00,Sunday,19,0
1469387100,-0.809145204,0,2016-07-24 19:05:00,2016-07-24,19:05:00,Sunday,19,5
1469387400,-1.1404343000000001,0,2016-07-24 19:10:00,2016-07-24,19:10:00,Sunday,19,10
1469387700,-0.919574903,0,2016-07-24 19:15:00,2016-07-24,19:15:00,Sunday,19,15
1469388000,-1.1404343000000001,0,2016-07-24 19:20:00,2016-07-24,19:20:00,Sunday,19,20
1469388300,-1.1404343000000001,0,2016-07-24 19:25:00,2016-07-24,19:25:00,Sunday,19,25
1469388600,-1.1404343000000001,0,2016-07-24 19:30:00,2016-07-24,19:30:00,Sunday,19,30
1469388900,-1.1404343000000001,0,2016-07-24 19:35:00,2016-07-24,19:35:00,Sunday,19,35
1469389200,-1.030004601,0,2016-07-24 19:40:00,2016-07-24,19:40:00,Sunday,19,40
1469389500,-1.250863998,0,2016-07-24 19:45:00,2016-07-24,19:45:00,Sunday,19,45
1469389800,-1.250863998,0,2016-07-24 19:50:00,2016-07-24,19:50:00,Sunday,19,50
1469390100,-1.1404343000000001,0,2016-07-24 19:55:00,2016-07-24,19:55:00,Sunday,19,55
1469390400,-1.250863998,0,2016-07-24 20:00:00,2016-07-24,20:00:00,Sunday,20,0
1469390700,-1.250863998,0,2016-07-24 20:05:00,2016-07-24,20:05:00,Sunday,20,5
